expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x
2021-03-29,Dundalk Eagle Newspaper,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,329.0000,Salling   Johnny Ray Friends of,Media,Newspaper,,Check,,Electoral,,
2021-04-29,Dundalk Eagle Newspaper,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,400.0000,Salling   Johnny Ray Friends of,Media,Newspaper,,Check,,Electoral,,
2021-05-18,Dundalk Eagle Newspaper,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,350.0000,Salling   Johnny Ray Friends of,Media,Newspaper,,Check,,Electoral,,
2021-07-01,Dundalk Eagle Newspaper,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,484.0000,Salling   Johnny Ray Friends of,Media,Newspaper,,Check,,Electoral,,
2021-10-12,Dundalk Eagle Newspaper,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,1792.0000,Salling   Johnny Ray Friends of,Media,Newspaper,,Check,,Electoral,,
2021-03-22,Troop Public Relations,Troop Public Relations,9103 Woodmore Center #213  Glenarden  Maryland 20706,Business/Group/Organization,625.0000,Fraser  Stanford Friends of,Media,Videos,,Debit Card,,Electoral,,
2022-02-14,Diamond Strategies LLC,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500.0000,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,,Check,,Electoral,November-December Retainer,
2021-07-26,Facebook,Facebook/Meta,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,900.0000,Franchot  Peter Friends Of,Media,Online Advertising,,Debit Card,,Electoral,,
2021-07-19,Facebook,Facebook/Meta,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,900.0000,Franchot  Peter Friends Of,Media,Online Advertising,,Debit Card,,Electoral,,
2021-07-19,Facebook,Facebook/Meta,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,900.0000,Franchot  Peter Friends Of,Media,Online Advertising,,Debit Card,,Electoral,2d of two payments on this date,
2021-07-06,Facebook,Facebook/Meta,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,689.8500,Franchot  Peter Friends Of,Media,Online Advertising,,Debit Card,,Electoral,,
2022-08-08,Facebook,Facebook/Meta,1 Hacker Way  Meno Park  California 94025,Business/Group/Organization,100.0000,Dappert  Michele Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2022-08-15,Facebook,Facebook/Meta,1 Hacker Way  Meno Park  California 94025,Business/Group/Organization,100.0000,Dappert  Michele Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2022-08-04,Kelvin Robinson,Kelvin Robinson,1132 Blue Wing Terrace  Upper Marlboro  Maryland 20774,Business/Group/Organization,75.0000,Lofton  Dania Friends of,Media,Billboards / Outdoor Advertising,,EFT,,Electoral,Removal of Campaign Signs,
2021-08-27,Bilty,Bilty,5006 601 W. 26th St  New York  New York 10001,Business/Group/Organization,35.0000,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-09-27,Bilty,Bilty,5006 601 W. 26th St  New York  New York 10001,Business/Group/Organization,35.0000,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
