team,home_away,w_l_d,shutouts,all_red,all_yellow,foul_mean,foul_median,score_mean,score_med,goal_rate,Draw,Loss,Win,wld_ratio,win_percent
A&M-Corpus Christi Islanders,Away,0.36538461538461536,6,0,20,6.884615384615385,6.5,1.2692307692307692,1,0.10855263157894737,3,15,8,8-15-3,30.76923076923077
A&M-Corpus Christi Islanders,Home,0.44642857142857145,6,1,18,9.5,9,1.3928571428571428,1,0.12074303405572756,5,13,10,10-13-5,35.714285714285715
Abilene Christian Wildcats,Away,0.3709677419354838,7,2,16,8.193548387096774,8,1.032258064516129,1,0.0798004987531172,3,18,10,10-18-3,32.25806451612903
Abilene Christian Wildcats,Home,0.5833333333333333,9,0,10,7.625,7,1.6666666666666665,1,0.0963855421686747,4,8,12,12-8-4,50
Air Force Falcons,Away,0.38461538461538464,8,0,24,9.26923076923077,8.5,0.6923076923076923,0,0.06593406593406594,4,14,8,8-14-4,30.76923076923077
Air Force Falcons,Home,0.4444444444444444,3,0,16,8.666666666666666,9,1,0.5,0.07003891050583658,2,9,7,7-9-2,38.88888888888889
Akron Zips,Away,0.20454545454545453,0,0,6,7.363636363636363,8,1.0454545454545454,1,0.13609467455621302,3,16,3,3-16-3,13.636363636363635
Akron Zips,Home,0.34090909090909094,8,1,17,9.5,9,0.7272727272727272,0,0.0653061224489796,3,13,6,6-13-3,27.27272727272727
Alabama A&M Bulldogs,Away,0.36538461538461536,7,2,22,5.923076923076923,6,0.923076923076923,1,0.11162790697674418,1,16,9,9-16-1,34.61538461538461
Alabama A&M Bulldogs,Home,0.5263157894736842,10,0,21,7.526315789473684,6,1.2631578947368418,1,0.10344827586206896,2,8,9,9-8-2,47.368421052631575
Alabama Crimson Tide,Away,0.48484848484848486,7,1,49,10.242424242424242,11,1.484848484848485,1,0.11036036036036036,4,15,14,14-15-4,42.42424242424242
Alabama Crimson Tide,Home,0.8181818181818181,17,0,31,10.606060606060606,10,2.303030303030303,2,0.1314878892733564,0,6,27,27-6-0,81.81818181818183
Alabama St. Lady Hornets,Away,0.46428571428571425,7,1,22,7.428571428571429,7.5,1.4285714285714284,1,0.136986301369863,4,13,11,11-13-4,39.285714285714285
Alabama St. Lady Hornets,Home,0.5681818181818181,9,0,13,5.5,5.5,1.4090909090909092,1,0.11355311355311355,5,7,10,10-7-5,45.45454545454545
Alcorn Lady Braves,Away,0.2916666666666667,4,0,14,5.916666666666666,6,1.0833333333333335,1,0.15028901734104047,4,15,5,5-15-4,20.833333333333336
Alcorn Lady Braves,Home,0.15909090909090912,1,0,15,8.090909090909092,9,0.9545454545454546,1,0.10294117647058823,1,18,3,3-18-1,13.636363636363635
American Eagles,Away,0.45,4,1,16,9.35,9.5,1,1,0.11494252873563218,6,8,6,6-8-6,30
American Eagles,Home,0.21875,3,0,10,7.5625,6.5,0.5,0,0.061068702290076333,3,11,2,2-11-3,12.5
App State Mountaineers,Away,0.32142857142857145,7,0,26,9.642857142857142,9,0.7857142857142858,1,0.09649122807017543,4,17,7,7-17-4,25
App State Mountaineers,Home,0.46428571428571425,8,2,22,8.571428571428571,9,1,1,0.1,2,14,12,12-14-2,42.857142857142854
Arizona St. Sun Devils,Away,0.4821428571428571,6,0,22,7.5,8,1.3214285714285714,1,0.11598746081504702,3,13,12,12-13-3,42.857142857142854
Arizona St. Sun Devils,Home,0.6666666666666666,7,1,19,7.925925925925926,8,2.6296296296296298,2,0.14699792960662525,4,7,16,16-7-4,59.25925925925925
Arizona Wildcats,Away,0.35416666666666663,6,1,24,11.5,11,0.8333333333333333,0,0.0851063829787234,3,14,7,7-14-3,29.166666666666668
Arizona Wildcats,Home,0.5740740740740741,8,1,20,8.814814814814815,8,1.4814814814814814,1,0.11661807580174927,1,11,15,15-11-1,55.55555555555556
Ark.-Pine Bluff Lady Lions,Away,0.30645161290322587,8,0,18,6.419354838709678,6,1.7419354838709675,0,0.14835164835164835,1,21,9,9-21-1,29.03225806451613
Ark.-Pine Bluff Lady Lions,Home,0.4347826086956522,5,1,17,3.652173913043478,3,2.2608695652173916,1,0.12935323383084577,0,13,10,10-13-0,43.47826086956522
Arkansas Razorbacks,Away,0.6470588235294118,9,0,54,10.970588235294118,10,2,2,0.13001912045889102,4,10,20,20-10-4,58.82352941176471
Arkansas Razorbacks,Home,0.8928571428571429,14,0,24,10.714285714285714,10,3.1785714285714284,3,0.1490787269681742,2,2,24,24-2-2,85.71428571428571
Arkansas St. Red Wolves,Away,0.5555555555555556,12,1,23,9.037037037037036,9,1.0740740740740742,1,0.09446254071661238,2,11,14,14-11-2,51.85185185185185
Arkansas St. Red Wolves,Home,0.6923076923076923,11,0,17,9.653846153846153,9,1.653846153846154,1,0.11436170212765957,4,6,16,16-6-4,61.53846153846154
Army West Point Black Knights,Away,0.38636363636363635,4,0,3,7.2272727272727275,7.5,1.3181818181818181,1,0.11788617886178862,7,10,5,5-10-7,22.727272727272727
Army West Point Black Knights,Home,0.75,11,0,5,8.318181818181818,8.5,1.4090909090909092,1,0.09226190476190477,3,4,15,15-4-3,68.18181818181817
Auburn Tigers,Away,0.5,6,1,14,8.518518518518519,9,1.259259259259259,1,0.1111111111111111,5,11,11,11-11-5,40.74074074074074
Auburn Tigers,Home,0.6724137931034483,16,0,14,7.206896551724138,7,1.8275862068965518,1,0.11064718162839249,5,7,17,17-7-5,58.620689655172406
Austin Peay Governors,Away,0.28260869565217395,5,0,9,8.130434782608695,7,0.782608695652174,0,0.07627118644067797,3,15,5,5-15-3,21.73913043478261
Austin Peay Governors,Home,0.34090909090909094,4,0,8,8.545454545454545,9,0.8181818181818181,0.5,0.08450704225352113,7,11,4,4-11-7,18.181818181818183
BYU Cougars,Away,0.6612903225806451,10,0,18,8.580645161290322,8,2.225806451612903,2,0.10935023771790808,7,7,17,17-7-7,54.83870967741935
BYU Cougars,Home,0.8,15,1,21,9.966666666666667,9,3.533333333333333,3,0.13856209150326798,4,4,22,22-4-4,73.33333333333333
Ball St. Cardinals,Away,0.4074074074074074,5,3,27,8.444444444444445,8,1.1481481481481481,1,0.09717868338557993,6,13,8,8-13-6,29.629629629629626
Ball St. Cardinals,Home,0.675,9,1,9,9.55,9.5,1.9,2,0.14339622641509434,5,4,11,11-4-5,55.00000000000001
Baylor Lady Bears,Away,0.39583333333333337,6,0,25,9.75,10,1.0416666666666667,1,0.07911392405063292,3,13,8,8-13-3,33.33333333333333
Baylor Lady Bears,Home,0.52,11,0,18,10.92,11,1.24,1,0.08355795148247978,8,8,9,9-8-8,36
Bellarmine Knights,Away,0.38461538461538464,10,0,7,7.384615384615385,7,0.5384615384615385,0,0.06862745098039216,12,10,4,4-10-12,15.384615384615385
Bellarmine Knights,Home,0.33333333333333337,6,0,8,7.9523809523809526,8,0.6666666666666667,0,0.06511627906976744,8,10,3,3-10-8,14.285714285714285
